PID   COMMAND          COMMAND
  743 qseecomd         /system/bin/qseecomd
  746 qseecomd         /system/bin/qseecomd
  749 qseecomd         /system/bin/qseecomd
  733 pm-proxy         /system/bin/pm-proxy
  753 Binder:733_1     {Binder:733_1} /system/bin/pm-proxy
  755 Binder:733_2     {Binder:733_2} /system/bin/pm-proxy
  756 Binder:733_3     {Binder:733_3} /system/bin/pm-proxy
  734 secure_storage_  /system/bin/secure_storage_daemon
  769 kworker/2:2H     [kworker/2:2H]
  774 sensors.qcom     /system/bin/sensors.qcom
  781 sensors.qcom     /system/bin/sensors.qcom
  782 sensors.qcom     /system/bin/sensors.qcom
  783 sensors.qcom     /system/bin/sensors.qcom
  786 sensors.qcom     /system/bin/sensors.qcom
  787 sensors.qcom     /system/bin/sensors.qcom
  845 sensors.qcom     /system/bin/sensors.qcom
  846 sensors.qcom     /system/bin/sensors.qcom
  776 adbd             /sbin/adbd --root_seclabel=u:r:su:s0
  784 usb ffs open     {usb ffs open} /sbin/adbd --root_seclabel=u:r:su:s0
  788 ->transport      {->transport} /sbin/adbd --root_seclabel=u:r:su:s0
  789 <-transport      {<-transport} /sbin/adbd --root_seclabel=u:r:su:s0
  777 cs               /system/bin/cs
  785 factory.adsp     /system/bin/factory.adsp
  793 factory.adsp     /system/bin/factory.adsp
  794 factory.adsp     /system/bin/factory.adsp
  795 irq/140-arm-smm  [irq/140-arm-smm]
  799 irq/141-arm-smm  [irq/141-arm-smm]
  802 kdmflush         [kdmflush]
  803 bioset           [bioset]
  807 mcDriverDaemon   /system/bin/mcDriverDaemon
  833 mcDriverDaemon   /system/bin/mcDriverDaemon
  834 McDaemon.Server  {McDaemon.Server} /system/bin/mcDriverDaemon
  812 tee_irq_bh       [tee_irq_bh]
  813 tee_scheduler    [tee_scheduler]
  835 mdss_fb0         [mdss_fb0]
  836 dci_thread       [dci_thread]
  842 jbd2/dm-0-8      [jbd2/dm-0-8]
  843 ext4-rsv-conver  [ext4-rsv-conver]
  852 bootanimation    /system/bin/bootanimation
  948 Binder:852_1     {Binder:852_1} /system/bin/bootanimation
  950 Binder:852_2     {Binder:852_2} /system/bin/bootanimation
  951 BootAnimation    {BootAnimation} /system/bin/bootanimation
  860 auditd           /system/bin/auditd -k
  861 kworker/3:3      [kworker/3:3]
  862 kauditd          [kauditd]
  869 ss_conn_daemon   /system/bin/ss_conn_daemon
  881 ss_conn_daemon   /system/bin/ss_conn_daemon
  882 ss_conn_daemon   /system/bin/ss_conn_daemon
  887 ss_conn_daemon   /system/bin/ss_conn_daemon
  888 ss_conn_daemon   /system/bin/ss_conn_daemon
  889 ss_conn_daemon   /system/bin/ss_conn_daemon
  870 ss_kbservice_da  /system/bin/ss_kbservice_daemon
  871 edmaudit         /system/bin/edmaudit
  873 drmserver        /system/bin/drmserver
  958 Binder:873_1     {Binder:873_1} /system/bin/drmserver
  878 sensorhubservic  /system/bin/sensorhubservice
  924 sensorhubservic  /system/bin/sensorhubservice
  925 sensorhubservic  /system/bin/sensorhubservice
  996 sensorhubservic  /system/bin/sensorhubservice
  998 sensorhubservic  /system/bin/sensorhubservice
  999 sensorhubservic  /system/bin/sensorhubservice
 1000 sensorhubservic  /system/bin/sensorhubservice
 1001 sensorhubservic  /system/bin/sensorhubservice
 1002 sensorhubservic  /system/bin/sensorhubservice
 1003 sensorhubservic  /system/bin/sensorhubservice
 1004 sensorhubservic  /system/bin/sensorhubservice
 1005 sensorhubservic  /system/bin/sensorhubservice
 1006 sensorhubservic  /system/bin/sensorhubservice
 1007 sensorhubservic  /system/bin/sensorhubservice
 1008 sensorhubservic  /system/bin/sensorhubservice
 1009 sensorhubservic  /system/bin/sensorhubservice
 1010 sensorhubservic  /system/bin/sensorhubservice
 1011 sensorhubservic  /system/bin/sensorhubservice
 1012 sensorhubservic  /system/bin/sensorhubservice
 1013 sensorhubservic  /system/bin/sensorhubservice
 1014 sensorhubservic  /system/bin/sensorhubservice
 1015 sensorhubservic  /system/bin/sensorhubservice
 1016 sensorhubservic  /system/bin/sensorhubservice
 1017 sensorhubservic  /system/bin/sensorhubservice
 1018 sensorhubservic  /system/bin/sensorhubservice
 1019 sensorhubservic  /system/bin/sensorhubservice
 1020 sensorhubservic  /system/bin/sensorhubservice
 1021 sensorhubservic  /system/bin/sensorhubservice
 1022 SensorHubServic  {SensorHubServic} /system/bin/sensorhubservice
 1023 Binder:878_1     {Binder:878_1} /system/bin/sensorhubservice
  879 apaservice       /system/bin/apaservice
  978 Binder:879_1     {Binder:879_1} /system/bin/apaservice
  884 jackservice      /system/bin/jackservice
 1057 Binder:884_1     {Binder:884_1} /system/bin/jackservice
  891 mpss_IPCRTR      [mpss_IPCRTR]
  892 SSM_RTR_MODEM_A  [SSM_RTR_MODEM_A]
  893 adsprpcd         /system/bin/adsprpcd
  900 adsprpcd         /system/bin/adsprpcd
  901 adsprpcd         /system/bin/adsprpcd
  895 Binder:895_2     {Binder:895_2} /system/bin/bintvoutservice
  952 Binder:895_1     {Binder:895_1} /system/bin/bintvoutservice
  897 main             {main} zygote64
 1276 ReferenceQueueD  {ReferenceQueueD} zygote64
 1277 FinalizerDaemon  {FinalizerDaemon} zygote64
 1278 FinalizerWatchd  {FinalizerWatchd} zygote64
 1279 HeapTaskDaemon   {HeapTaskDaemon} zygote64
  898 main             {main} zygote
 1220 ReferenceQueueD  {ReferenceQueueD} zygote
 1221 FinalizerDaemon  {FinalizerDaemon} zygote
 1222 FinalizerWatchd  {FinalizerWatchd} zygote
 1223 HeapTaskDaemon   {HeapTaskDaemon} zygote
  899 imsd             /system/bin/imsd
  982 imsd             /system/bin/imsd
  984 imsd             /system/bin/imsd
 1040 imsd             /system/bin/imsd
 1041 imsd             /system/bin/imsd
 1042 imsd             /system/bin/imsd
 1043 Binder:899_1     {Binder:899_1} /system/bin/imsd
  902 cellgeofenced    /system/bin/cellgeofenced
  903 apexserver       /system/bin/apexserver
 1106 ApexPeepManager  {ApexPeepManager} /system/bin/apexserver
 1107 Binder:903_1     {Binder:903_1} /system/bin/apexserver
  904 qmi_hndl0000000  [qmi_hndl0000000]
  911 sdp_cryptod      /system/bin/sdp_cryptod
 1082 sdp_cryptod      /system/bin/sdp_cryptod
  912 audioserver      /system/bin/audioserver
 1053 ApmTone          {ApmTone} /system/bin/audioserver
 1054 ApmAudio         {ApmAudio} /system/bin/audioserver
 1055 ApmOutput        {ApmOutput} /system/bin/audioserver
 1230 audioserver      /system/bin/audioserver
 1234 AudioOut_D       {AudioOut_D} /system/bin/audioserver
 1235 FastMixer        {FastMixer} /system/bin/audioserver
 1236 AudioOut_15      {AudioOut_15} /system/bin/audioserver
